"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2020-07-03,"infections",NA,"estimate",8.70661554893617,8.73855889048063,1.41077912105735,6.52338595752728,7.77836551326578,8.29784836283748,9.04340227309481,9.59436473932699,11.1040030281449
2020-07-04,"infections",NA,"estimate",10.2499616973168,10.3022242494475,1.54282030487848,7.94757584041012,9.24412196611339,9.8355077362125,10.6832270114863,11.2392585283519,12.9390227853815
2020-07-05,"infections",NA,"estimate",11.926602336656,12.0006962625626,1.67333297265022,9.43112603927263,10.8450708399467,11.503446758049,12.3904253133855,13.0340863198328,14.8760465196589
2020-07-06,"infections",NA,"estimate",13.7349607007049,13.8105038321702,1.80446838184748,11.0969119036796,12.5553670063341,13.2657426852835,14.209158593268,14.9271518492553,16.9548487144066
2020-07-07,"infections",NA,"estimate",15.5837847544741,15.6830757208918,1.94155637367289,12.7276757964788,14.3468506493158,15.0865445866052,16.0534161103467,16.8594446180636,19.1889506433093
2020-07-08,"infections",NA,"estimate",17.4121596739512,17.5584344476711,2.09012379771448,14.4044967674501,16.0888125631525,16.8891025422133,17.9374562745212,18.8067041676278,21.2994406410699
2020-07-09,"infections",NA,"estimate",19.1770281340405,19.3670611625499,2.25335904608035,16.0747967625107,17.7346955533014,18.6386694283039,19.7448438193982,20.6782405626121,23.4973566626027
2020-07-10,"infections",NA,"estimate",20.828859048685,21.0341991810102,2.42975004999187,17.4443879955189,19.3170598871946,20.181613640184,21.487731282168,22.4721023973059,25.3744852253139
2020-07-11,"infections",NA,"estimate",22.2616650504149,22.4859608058956,2.61161432432221,18.6576492481464,20.6090965751637,21.5731013596386,22.9786269495586,24.1248559616641,27.2198063467618
2020-07-12,"infections",NA,"estimate",23.3766535225444,23.6564193107608,2.78497841579306,19.5877755109065,21.6772808043089,22.731143280335,24.1367235484729,25.3701545791686,28.5524013740527
2020-07-13,"infections",NA,"estimate",24.2569625018136,24.4946246853461,2.93108328225846,20.1512313988556,22.4300956059818,23.5239938593234,25.0566877653184,26.3300643221163,29.784915122646
2020-07-14,"infections",NA,"estimate",24.7344027132306,24.9703675094703,3.02972373486962,20.5261929116989,22.8609400426236,23.9810655846773,25.5027868925576,26.7018842132053,30.3842684470615
2020-07-15,"infections",NA,"estimate",24.7795562855352,25.0776152262244,3.06430463117,20.6239444330448,22.9448672264381,24.0663032080082,25.5991365687694,26.8159737773217,30.5583133191413
2020-07-16,"infections",NA,"estimate",24.5224712638136,24.8348854753376,3.02750166387385,20.3343822966653,22.7757417693208,23.8668145574436,25.3088391711706,26.5637581359293,30.3944737433617
2020-07-17,"infections",NA,"estimate",23.9934419504523,24.2761270013811,2.92525082117616,19.9628798186912,22.2964342441176,23.3223969178316,24.7197610955606,26.0315822044131,29.5451706737253
2020-07-18,"infections",NA,"estimate",23.2066887344082,23.4624790376076,2.77672354246978,19.3346554766683,21.6299271601915,22.6140144522885,23.8800577603903,25.0848914046483,28.4560652946854
2020-07-19,"infections",NA,"estimate",22.265420799536,22.4589823740651,2.60961422435421,18.4259424931209,20.6938611404184,21.6815209237538,22.8700176358334,23.9939141144585,27.0877416577731
2020-07-20,"infections",NA,"estimate",21.20723218515,21.3324575278032,2.45219808517686,17.4858955935752,19.6560140577962,20.6167895709897,21.7896166835969,22.9238939542426,25.6547724260387
2020-07-21,"infections",NA,"estimate",20.065080267662,20.1452247110874,2.32508545201094,16.4792413902544,18.5608967923448,19.4708630146071,20.6880890277649,21.5983456807344,24.1412736924858
2020-07-22,"infections",NA,"estimate",18.8744238533484,18.9507782408833,2.23621240885074,15.3523594151018,17.4049774043189,18.2949731221305,19.4224947796886,20.375292004252,22.7529253448122
2020-07-23,"infections",NA,"estimate",17.7173510894441,17.7917015510787,2.18141138713672,14.3200418405823,16.3350676572476,17.1506044781632,18.3014727111485,19.1881303369745,21.4463056716577
2020-07-24,"infections",NA,"estimate",16.6030138989131,16.699397183919,2.14953224239235,13.2262306901555,15.2635295766821,16.0991146131403,17.2030346237411,18.0759816565876,20.1914589483507
2020-07-25,"infections",NA,"estimate",15.6467171629197,15.695109830442,2.12832567645234,12.264966380367,14.2345584846056,15.0968704861821,16.1482164546305,17.1203484363203,19.3263420876981
2020-07-26,"infections",NA,"estimate",14.7459885121143,14.7916564692963,2.10807383621595,11.3914812815701,13.342582577972,14.1878297571578,15.2612050191371,16.1415301995356,18.3906603368544
2020-07-27,"infections",NA,"estimate",13.9846435928419,13.9953836180006,2.08260539441833,10.6005941819195,12.5999638898838,13.4024010193775,14.4856836217133,15.3187437090472,17.5379498448608
2020-07-28,"infections",NA,"estimate",13.264777474184,13.3080287444009,2.04881944088045,10.0147903069674,11.9491718575529,12.7190131900916,13.7601681910021,14.6200298273915,16.7908206742066
2020-07-29,"infections",NA,"estimate",12.6499264936802,12.7283101616234,2.00578052823695,9.46166268953605,11.4110370941661,12.1571931055934,13.1893178099868,14.0254156363229,16.1270233590432
2020-07-30,"infections",NA,"estimate",12.1763277749144,12.2531787761192,1.95391106993291,9.12036220373901,10.9585116684492,11.6788253628719,12.6634258007588,13.5311424161433,15.5590647868112
2020-07-31,"infections",NA,"estimate",11.7827850562269,11.8787320289113,1.89443962684163,8.81217034782848,10.6072983718585,11.3357843787975,12.2795706193958,13.1531762963651,15.1062281615018
2020-08-01,"infections",NA,"estimate",11.5433116523255,11.6008236374208,1.8291213980194,8.63704587236525,10.3596629191229,11.0813861418819,12.0055122839576,12.8137197115055,14.6609404328295
2020-08-02,"infections",NA,"estimate",11.346718635837,11.4154244963232,1.76021608523696,8.56387200631169,10.2035310020774,10.9040777973636,11.8311199562591,12.5878542693868,14.3060104520629
2020-08-03,"infections",NA,"estimate",11.2549425077748,11.3187361761187,1.69069647976307,8.65761519614945,10.1824645280642,10.8058873009745,11.7242555792863,12.4433108232646,14.1352640558389
2020-08-04,"infections",NA,"estimate",11.2280510780815,11.3071523575745,1.62462429175888,8.72319967205572,10.2195392769292,10.7946647822181,11.7149385755996,12.3633501952334,14.0160601099398
2020-08-05,"infections",NA,"estimate",11.3022042056016,11.3770608336325,1.56751560105734,8.8252424935913,10.2714903607757,10.8895427837443,11.7206912902799,12.4121083650529,13.9915292235822
2020-08-06,"infections",NA,"estimate",11.4370724149826,11.5245306399415,1.52633295239051,9.11770290415841,10.4656218685452,11.0425575400586,11.8357856616305,12.5261629238815,14.0864942381684
