"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2020-08-27,"R",NA,"estimate",1.15050929874541,1.14777759386588,0.0587799040643271,1.05278264028341,1.10557240198813,1.13506746795694,1.16533491818599,1.18532777066993,1.24259221731283
2020-08-28,"R",NA,"estimate",1.17175083778346,1.17024590990891,0.058649612533016,1.07803648172981,1.12902636678437,1.15609613276417,1.18552450252088,1.20703902701621,1.26516633328974
2020-08-29,"R",NA,"estimate",1.19493601525671,1.19519926449638,0.059194643679126,1.09915720101409,1.15664887798034,1.17943932766624,1.20962676300813,1.2340887969968,1.29079571029151
2020-08-30,"R",NA,"estimate",1.22031034041954,1.22163450602978,0.0603533573213871,1.12404000220287,1.18395364855793,1.2051727720758,1.23418826880974,1.26078088746819,1.31695144707518
2020-08-31,"R",NA,"estimate",1.24600717718723,1.24841775536323,0.0619534225136968,1.14768206394459,1.20873980917723,1.23207786715344,1.26132906984075,1.28954300994321,1.34878633863958
2020-09-01,"R",NA,"estimate",1.27339245280633,1.27432705528726,0.0637505377818226,1.1736867221245,1.23103052616268,1.25757009846636,1.28818400224271,1.31529055727283,1.37820125016576
2020-09-02,"R",NA,"estimate",1.29701253604535,1.29811034777538,0.065477733705408,1.19351090058182,1.25366898815474,1.28009179201488,1.31440207624757,1.34044157156494,1.41071842462311
2020-09-03,"R",NA,"estimate",1.31763131874687,1.31855579974723,0.066889200651219,1.21652427660841,1.27155214249246,1.30067251145949,1.3331036570422,1.35851317501027,1.4338620332844
2020-09-04,"R",NA,"estimate",1.33240845217941,1.33456860156491,0.0677915470967137,1.23135323741578,1.2873998947487,1.31682344832039,1.3482891307067,1.37608337248982,1.45090139335311
2020-09-05,"R",NA,"estimate",1.34155565663433,1.34524610945196,0.0680626297494315,1.23971279725721,1.29825028188869,1.32476921510986,1.35898326351903,1.38603289619943,1.4638383310687
2020-09-06,"R",NA,"estimate",1.34516762888359,1.34994221669812,0.0676604791680194,1.24813040415842,1.30555683334866,1.32937520937117,1.36166455445941,1.38923925135686,1.4668667848044
2020-09-07,"R",NA,"estimate",1.34327889099168,1.34831251269208,0.0666240197834745,1.24681537445939,1.30446017719109,1.32993768056613,1.35837675684764,1.38833557567019,1.46476716020208
2020-09-08,"R",NA,"estimate",1.33540989014103,1.34033413124483,0.0650657460885574,1.23851003846003,1.29663059302923,1.31994917226373,1.35166498331566,1.38179604413528,1.45902513504435
2020-09-09,"R",NA,"estimate",1.32266675864246,1.32629777471747,0.0631558995835152,1.22969866080473,1.28333121723434,1.3067378394826,1.33872564902801,1.36752244989872,1.43465871724895
2020-09-10,"R",NA,"estimate",1.30283643970113,1.30677346552053,0.0610985546457262,1.21069754021089,1.26512776623753,1.28883287086851,1.31783425658969,1.34438835754489,1.40924986373212
2020-09-11,"R",NA,"estimate",1.27926022854001,1.2825552380249,0.0591020449733009,1.19003837198121,1.24341343656873,1.26524487480364,1.29369609914343,1.32122741239043,1.38253161343967
