day,date,observed_new_acute_care,observed_new_ICU,observed_new_ICU_p_acute_care,observed_new_vents,observed_census_acute_care,observed_census_ICU,observed_census_ICU_p_acute_care,observed_census_vents,daily_discharges,observed_new_deaths,observed_cumulative_deaths,capacity_census_ICU_p_acute_care,capacity_census_acute_care,capacity_census_ICU,capacity_census_vents,capacity_new_ICU_p_acute_care,capacity_new_acute_care,capacity_new_ICU,capacity_new_vents
-14,2020-03-17,,,0,NA,1,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-13,2020-03-18,,,0,NA,0,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-12,2020-03-19,,,0,NA,1,0,1,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-11,2020-03-20,,,2,NA,2,0,2,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-10,2020-03-21,,,3,NA,4,0,4,NA,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-9,2020-03-22,,,0,NA,4,0,4,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-8,2020-03-23,,,3,NA,5,1,6,NA,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-7,2020-03-24,,,1,NA,2,2,5,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA
-6,2020-03-25,,,3,NA,3,4,7,NA,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA
-5,2020-03-26,,,11,NA,10,7,17,NA,6,0,1,NA,NA,NA,NA,NA,NA,NA,NA
-4,2020-03-27,,,3,NA,12,7,19,NA,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA
-3,2020-03-28,,,0,NA,12,5,18,NA,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA
-2,2020-03-29,,,3,NA,16,5,21,NA,7,0,2,NA,NA,NA,NA,NA,NA,NA,NA
-1,2020-03-30,,,3,NA,17,6,23,NA,,1,3,NA,NA,NA,NA,NA,NA,NA,NA
0,2020-03-31,,,2,NA,18,7,25,NA,,0,3,NA,NA,NA,NA,NA,NA,NA,NA
1,2020-04-01,,,0,NA,17,7,24,NA,,0,3,NA,NA,NA,NA,NA,NA,NA,NA
2,2020-04-02,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
3,2020-04-03,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
4,2020-04-04,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
5,2020-04-05,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
6,2020-04-06,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
7,2020-04-07,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
8,2020-04-08,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
9,2020-04-09,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
10,2020-04-10,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
11,2020-04-11,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
12,2020-04-12,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
13,2020-04-13,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
14,2020-04-14,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
15,2020-04-15,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
16,2020-04-16,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
17,2020-04-17,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
18,2020-04-18,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
19,2020-04-19,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
20,2020-04-20,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
21,2020-04-21,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
22,2020-04-22,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
23,2020-04-23,,,,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA
