,date,hosp_census_5_current,hosp_census_95_current,hosp_census_median_current,vent_census_5_current,vent_census_95_current,vent_census_median_current,hosp_admits_5_current,hosp_admits_95_current,hosp_admits_median_current,vent_admits_5_current,vent_admits_95_current,vent_admits_median_current,hosp_census_5_reduction_10,hosp_census_95_reduction_10,hosp_census_median_reduction_10,vent_census_5_reduction_10,vent_census_95_reduction_10,vent_census_median_reduction_10,hosp_admits_5_reduction_10,hosp_admits_95_reduction_10,hosp_admits_median_reduction_10,vent_admits_5_reduction_10,vent_admits_95_reduction_10,vent_admits_median_reduction_10,hosp_census_5_increase_10,hosp_census_95_increase_10,hosp_census_median_increase_10,vent_census_5_increase_10,vent_census_95_increase_10,vent_census_median_increase_10,hosp_admits_5_increase_10,hosp_admits_95_increase_10,hosp_admits_median_increase_10,vent_admits_5_increase_10,vent_admits_95_increase_10,vent_admits_median_increase_10
0,2020-07-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,2020-07-08,0.0,1.0,0.0,0.0,0.904050648396761,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9088073154133349,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9066466527009277,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,2020-07-09,0.0,1.8008651698008757,0.0,0.0,0.9121811989429373,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.805983857055382,0.0,0.0,0.9299708354749465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.7954723676307554,0.0,0.0,0.9311647929870507,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,2020-07-10,0.0,1.9282696500922547,0.5704458020851475,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.913981589565693,0.5891811532235297,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5810157379292882,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,2020-07-11,0.0,2.356241025340631,0.7079924534667544,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.3662485233724966,0.7032665505745477,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.3429764949887217,0.7036904049266227,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
5,2020-07-12,0.0,2.5958782614339624,0.8259444076692228,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.6200601304981883,0.8022978923250133,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.6010464784193092,0.8168340726747607,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6,2020-07-13,0.0,2.9008644260154584,0.9515389475665759,0.0,1.2146157429312578,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.9623564028166713,1.0,0.0,1.1979751440174522,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.8799758185077877,1.0,0.0,1.2460437092037928,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7,2020-07-14,0.0,3.314004372206284,1.1355911682662216,0.0,1.4789070352275497,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.3155683475126487,1.1731620562875897,0.0,1.4876548834790027,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.2407392852155334,1.161177877394373,0.0,1.4767559308890046,0.0,0.0,2.0,0.0,0.0,1.0,0.0
8,2020-07-15,0.0,3.6650632079045438,1.414629238439647,0.0,1.6188800686591693,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.6877987022706717,1.4218930524170825,0.0,1.643133477137691,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.6372009560361676,1.4231864105648164,0.0,1.6124289888735612,0.0,0.0,2.0,0.0,0.0,1.0,0.0
9,2020-07-16,0.0,4.119156866726477,1.6490381921856534,0.0,1.7462439311302564,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.103059254107062,1.6587429381288539,0.0,1.7449650081904722,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.117758417170815,1.6536309455740645,0.0,1.7484644611886118,0.0,0.0,2.0,0.0,0.0,1.0,0.0
