"date","variable","strat","type","median","mean","sd","lower_90","lower_75","lower_50","lower_20","upper_20","upper_50","upper_75","upper_90"
2022-03-28,"growth_rate",NA,"estimate",0.0557989438927385,0.0555240764346535,0.0235767426688254,0.0172329975140139,0.0275243086216228,0.0392692021698604,0.0489851680314581,0.0616847081564998,0.0718754982500607,0.0823316645873986,0.094406913694577
2022-03-29,"growth_rate",NA,"estimate",0.0557989438927385,0.0555240764346535,0.0235767426688254,0.0172329975140139,0.0275243086216228,0.0392692021698604,0.0489851680314581,0.0616847081564998,0.0718754982500607,0.0823316645873986,0.094406913694577
2022-03-30,"growth_rate",NA,"estimate",0.0557989438927385,0.0555240764346535,0.0235767426688254,0.0172329975140139,0.0275243086216228,0.0392692021698604,0.0489851680314581,0.0616847081564998,0.0718754982500607,0.0823316645873986,0.094406913694577
2022-03-31,"growth_rate",NA,"estimate",0.0557989438927385,0.0555240764346535,0.0235767426688254,0.0172329975140139,0.0275243086216228,0.0392692021698604,0.0489851680314581,0.0616847081564998,0.0718754982500607,0.0823316645873986,0.094406913694577
2022-04-01,"growth_rate",NA,"estimate",0.0557989438927385,0.0555240764346535,0.0235767426688254,0.0172329975140139,0.0275243086216228,0.0392692021698604,0.0489851680314581,0.0616847081564998,0.0718754982500607,0.0823316645873986,0.094406913694577
2022-04-02,"growth_rate",NA,"estimate",0.0557989438927385,0.0555240764346535,0.0235767426688254,0.0172329975140139,0.0275243086216228,0.0392692021698604,0.0489851680314581,0.0616847081564998,0.0718754982500607,0.0823316645873986,0.094406913694577
2022-04-03,"growth_rate",NA,"estimate",0.0557989438927385,0.0555240764346535,0.0235767426688254,0.0172329975140139,0.0275243086216228,0.0392692021698604,0.0489851680314581,0.0616847081564998,0.0718754982500607,0.0823316645873986,0.094406913694577
2022-04-04,"growth_rate",NA,"estimate",0.0065458588091573,0.00662136955489071,0.0229122946247808,-0.031640120288813,-0.0199546005381944,-0.00898367611984717,0.000893660832010319,0.0122520864654363,0.0227100524333101,0.0330016800118295,0.043208916441273
2022-04-05,"growth_rate",NA,"estimate",0.0065458588091573,0.00662136955489071,0.0229122946247808,-0.031640120288813,-0.0199546005381944,-0.00898367611984717,0.000893660832010319,0.0122520864654363,0.0227100524333101,0.0330016800118295,0.043208916441273
2022-04-06,"growth_rate",NA,"estimate",0.0065458588091573,0.00662136955489071,0.0229122946247808,-0.031640120288813,-0.0199546005381944,-0.00898367611984717,0.000893660832010319,0.0122520864654363,0.0227100524333101,0.0330016800118295,0.043208916441273
2022-04-07,"growth_rate",NA,"estimate",0.0065458588091573,0.00662136955489071,0.0229122946247808,-0.031640120288813,-0.0199546005381944,-0.00898367611984717,0.000893660832010319,0.0122520864654363,0.0227100524333101,0.0330016800118295,0.043208916441273
2022-04-08,"growth_rate",NA,"estimate",0.0065458588091573,0.00662136955489071,0.0229122946247808,-0.031640120288813,-0.0199546005381944,-0.00898367611984717,0.000893660832010319,0.0122520864654363,0.0227100524333101,0.0330016800118295,0.043208916441273
2022-04-09,"growth_rate",NA,"estimate",0.0065458588091573,0.00662136955489071,0.0229122946247808,-0.031640120288813,-0.0199546005381944,-0.00898367611984717,0.000893660832010319,0.0122520864654363,0.0227100524333101,0.0330016800118295,0.043208916441273
2022-04-10,"growth_rate",NA,"estimate",0.0065458588091573,0.00662136955489071,0.0229122946247808,-0.031640120288813,-0.0199546005381944,-0.00898367611984717,0.000893660832010319,0.0122520864654363,0.0227100524333101,0.0330016800118295,0.043208916441273
2022-04-11,"growth_rate",NA,"estimate",0.0303103918444336,0.0300498930130189,0.0223740724017984,-0.00659147525620267,0.00443040072428819,0.0148120289097664,0.0245561593793551,0.0353818801575628,0.0446649872221587,0.0553835833541482,0.0671762684616927
2022-04-12,"growth_rate",NA,"estimate",0.0303103918444336,0.0300498930130189,0.0223740724017984,-0.00659147525620267,0.00443040072428819,0.0148120289097664,0.0245561593793551,0.0353818801575628,0.0446649872221587,0.0553835833541482,0.0671762684616927
2022-04-13,"growth_rate",NA,"estimate",0.0303103918444336,0.0300498930130189,0.0223740724017984,-0.00659147525620267,0.00443040072428819,0.0148120289097664,0.0245561593793551,0.0353818801575628,0.0446649872221587,0.0553835833541482,0.0671762684616927
2022-04-14,"growth_rate",NA,"estimate",0.0303103918444336,0.0300498930130189,0.0223740724017984,-0.00659147525620267,0.00443040072428819,0.0148120289097664,0.0245561593793551,0.0353818801575628,0.0446649872221587,0.0553835833541482,0.0671762684616927
2022-04-15,"growth_rate",NA,"estimate",0.0303103918444336,0.0300498930130189,0.0223740724017984,-0.00659147525620267,0.00443040072428819,0.0148120289097664,0.0245561593793551,0.0353818801575628,0.0446649872221587,0.0553835833541482,0.0671762684616927
2022-04-16,"growth_rate",NA,"estimate",0.0303103918444336,0.0300498930130189,0.0223740724017984,-0.00659147525620267,0.00443040072428819,0.0148120289097664,0.0245561593793551,0.0353818801575628,0.0446649872221587,0.0553835833541482,0.0671762684616927
2022-04-17,"growth_rate",NA,"estimate",0.0303103918444336,0.0300498930130189,0.0223740724017984,-0.00659147525620267,0.00443040072428819,0.0148120289097664,0.0245561593793551,0.0353818801575628,0.0446649872221587,0.0553835833541482,0.0671762684616927
2022-04-18,"growth_rate",NA,"estimate",0.0236203580350033,0.0235454299421841,0.0217427920093478,-0.012955629343968,-0.00131822730604054,0.00906352268296605,0.0184187602682266,0.0291361561192234,0.0378834922552811,0.0481075884059179,0.0586365331027234
2022-04-19,"growth_rate",NA,"estimate",0.0236203580350033,0.0235454299421841,0.0217427920093478,-0.012955629343968,-0.00131822730604054,0.00906352268296605,0.0184187602682266,0.0291361561192234,0.0378834922552811,0.0481075884059179,0.0586365331027234
2022-04-20,"growth_rate",NA,"estimate",0.0236203580350033,0.0235454299421841,0.0217427920093478,-0.012955629343968,-0.00131822730604054,0.00906352268296605,0.0184187602682266,0.0291361561192234,0.0378834922552811,0.0481075884059179,0.0586365331027234
2022-04-21,"growth_rate",NA,"estimate",0.0236203580350033,0.0235454299421841,0.0217427920093478,-0.012955629343968,-0.00131822730604054,0.00906352268296605,0.0184187602682266,0.0291361561192234,0.0378834922552811,0.0481075884059179,0.0586365331027234
2022-04-22,"growth_rate",NA,"estimate",0.0236203580350033,0.0235454299421841,0.0217427920093478,-0.012955629343968,-0.00131822730604054,0.00906352268296605,0.0184187602682266,0.0291361561192234,0.0378834922552811,0.0481075884059179,0.0586365331027234
2022-04-23,"growth_rate",NA,"estimate",0.0236203580350033,0.0235454299421841,0.0217427920093478,-0.012955629343968,-0.00131822730604054,0.00906352268296605,0.0184187602682266,0.0291361561192234,0.0378834922552811,0.0481075884059179,0.0586365331027234
2022-04-24,"growth_rate",NA,"estimate",0.0236203580350033,0.0235454299421841,0.0217427920093478,-0.012955629343968,-0.00131822730604054,0.00906352268296605,0.0184187602682266,0.0291361561192234,0.0378834922552811,0.0481075884059179,0.0586365331027234
2022-04-25,"growth_rate",NA,"estimate",-0.0271623853963507,-0.0262123807472651,0.0208051492756433,-0.0589673542634545,-0.0490050499470678,-0.0396880977158599,-0.0318197500783093,-0.0216482629206716,-0.0129014076243074,-0.00273758789125842,0.00880233085117285
2022-04-26,"growth_rate",NA,"estimate",-0.0271623853963507,-0.0262123807472651,0.0208051492756433,-0.0589673542634545,-0.0490050499470678,-0.0396880977158599,-0.0318197500783093,-0.0216482629206716,-0.0129014076243074,-0.00273758789125842,0.00880233085117285
2022-04-27,"growth_rate",NA,"estimate",-0.0271623853963507,-0.0262123807472651,0.0208051492756433,-0.0589673542634545,-0.0490050499470678,-0.0396880977158599,-0.0318197500783093,-0.0216482629206716,-0.0129014076243074,-0.00273758789125842,0.00880233085117285
2022-04-28,"growth_rate",NA,"estimate",-0.0271623853963507,-0.0262123807472651,0.0208051492756433,-0.0589673542634545,-0.0490050499470678,-0.0396880977158599,-0.0318197500783093,-0.0216482629206716,-0.0129014076243074,-0.00273758789125842,0.00880233085117285
2022-04-29,"growth_rate",NA,"estimate",-0.0271623853963507,-0.0262123807472651,0.0208051492756433,-0.0589673542634545,-0.0490050499470678,-0.0396880977158599,-0.0318197500783093,-0.0216482629206716,-0.0129014076243074,-0.00273758789125842,0.00880233085117285
2022-04-30,"growth_rate",NA,"estimate",-0.0271623853963507,-0.0262123807472651,0.0208051492756433,-0.0589673542634545,-0.0490050499470678,-0.0396880977158599,-0.0318197500783093,-0.0216482629206716,-0.0129014076243074,-0.00273758789125842,0.00880233085117285
2022-05-01,"growth_rate",NA,"estimate",-0.0271623853963507,-0.0262123807472651,0.0208051492756433,-0.0589673542634545,-0.0490050499470678,-0.0396880977158599,-0.0318197500783093,-0.0216482629206716,-0.0129014076243074,-0.00273758789125842,0.00880233085117285
2022-05-02,"growth_rate",NA,"estimate",-0.0544289411054914,-0.0546296180653496,0.0197639779275201,-0.0864538785146399,-0.0765735645969448,-0.0677197932671527,-0.0596770249750516,-0.0498656795987149,-0.0415749248449296,-0.032314037205069,-0.023008033001846
2022-05-03,"growth_rate",NA,"estimate",-0.0544289411054914,-0.0546296180653496,0.0197639779275201,-0.0864538785146399,-0.0765735645969448,-0.0677197932671527,-0.0596770249750516,-0.0498656795987149,-0.0415749248449296,-0.032314037205069,-0.023008033001846
